budget,Genre Code,Genre_Name,Popularity,Production Company,Production Country,release_date,revenue,runtime,title,vote_average,vote_count
30000000,51,AnimationComedy,21.95, Pixar Animation Studios, USA,10/30/1995,373554033,81,Toy Story,7.7,5415
65000000,26,AdventureFantasy,17.02, TriStar Pictures, USA,12/15/1995,262797249,104,Jumanji,6.9,2413
16000000,108,ActionCrime,3.86, Regency Enterprises, USA,12/22/1995,81452156,127,Waiting to Exhale,6.1,34
60000000,40,AdventureAction,17.92, United Artists, USA,12/15/1995,187436818,170,Heat,7.7,1886
35000000,40,ActionAdventure,5.23, Le Studio nal+, USA,12/22/1995,64350171,106,Sudden Death,5.5,174
58000000,98,DramaCrime,14.69, Universal Pictures, USA,11/16/1995,352194034,130,GoldenEye,6.6,1194
62000000,10767,DramaRomance,6.32, Columbia Pictures Corporation, USA,11/17/1995,107879496,106,The American President,6.5,199
44000000,63,ActionComedy,5.09, Columbia Pictures, USA,12/22/1995,13681765,192,Nixon,7.1,72
98000000,88,ComedyThriller,7.28, Jersey Films, USA,12/22/1995,10017322,119,Cutthroat Island,5.7,137
52000000,40,ActionAdventure,10.14, Silver Pictures, USA,11/22/1995,116112375,178,sino,7.8,1343
16500000,10767,DramaRomance,10.67, United Artists, USA,12/13/1995,135000000,136,Sense and Sensibility,7.2,364
4000000,53,ComedyDrama,9.03, New Line Cinema, USA,12/9/1995,4300000,98,Four Rooms,6.5,539
60000000,878,Science Fiction,7.34, Universal Pictures, USA,11/21/1995,35431113,103,Money Train,5.4,224
30250000,32,FantasyDrama,12.67, Universal Pictures, Australia,10/20/1995,115101622,105,Get Shorty,6.4,305
50000000,42,ActionFantasy,11.07, New Line Cinema, USA,10/6/1995,30303072,132,Assassins,6,394
3600000,10767,DramaRomance,10.33, Universal Pictures, USA,10/27/1995,49800000,112,Leaving Las Vegas,7.1,365
12000000,28,AdventureAnimation,8.68, Walt Disney Pictures, USA,10/20/1995,27400000,100,Now and Then,6.6,91
18000000,10784,ComedyRomance,9.82, Miramax Films, USA,5/16/1995,1738611,108,The City of Lost Children,7.6,308
29500000,81,ActionThriller,12.3, Silver Pictures, USA,12/29/1995,168840000,129,Twelve Monkeys,7.4,2470
30000000,905,HorrorScience Fiction,14.4, The Movie Network (TMN),Canada,7/18/1995,254134910,89,Babe,6,756
11000000,46,ActionDrama,6.89, Hollywood Pictures, USA,12/29/1995,39363635,122,Dead Man Walking,7.3,350
18000000,46,ActionDrama,10.87, Icon Entertainment International, USA,8/18/1995,122195920,101,Mortal Kombat,5.4,452
20000000,98,CrimeDrama,10.45, Columbia Pictures Corporation, USA,5/20/1995,21284514,106,To Die For,6.7,177
10000000,108,CrimeAction,4.49, New Line Cinema, Hong Kong,10/6/1995,23574130,116,How To Make An American Quilt,6.5,38
33000000,53,ComedyDrama,18.46, Savoy Pictures, USA,9/22/1995,327311859,127,Se7en,8.1,5915
55000000,10784,ComedyRomance,13.28, Paramount Pictures, USA,6/14/1995,346079773,81,Pohontas,6.7,1509
6000000,81,ActionThriller,16.3, Paramount Pictures, USA,7/19/1995,23341568,106,The Usual Suspects,8.1,3334
15000000,63,ActionComedy,15.9, Columbia Pictures, USA,9/13/1995,6700000,95,Mighty Aphrodite,6.7,145
3500000,878,Science Fiction,14.57, Hollywood Pictures, USA,4/26/1995,28215918,91,Friday,7,513
19000000,98,DramaCrime,15.34, Miramax Films, USA,1/19/1996,25836616,108,From Dusk Till Dawn,6.9,1644
50000000,53,DramaComedy,5.91, JDI productions, USA,11/3/1995,11534477,91,Fair Game,4.1,54
15000000,35,Comedy,2.94, Party Productions, USA,1/26/1996,2042530,90,Big Bully,3.9,16
20000000,54,DramaHistory,12.76, Hollywood Pictures, USA,9/8/1995,5781885,108,Screamers,6.1,154
8000000,53,Thriller,4.49, Hollywood Pictures, USA,12/1/1995,529766,116,Things to Do in Denver When You're Dead,6.7,87
38000000,10767,DramaRomance,9.57, Detour Film Production, Austria,2/2/1996,10300000,129,White Squall,6.3,86
8169363,10767,RomanceDrama,6.85, New Line Cinema, USA,11/22/1995,8175346,90,Nick of Time,6.1,190
47000000,35,Comedy,12.87, New Line Cinema, USA,2/23/1996,12379402,104,Mary Reilly,5.7,77
14000000,53,ComedyDrama,9.07, Touchstone Pictures, USA,10/26/1995,19800000,100,Vampire in Brooklyn,4.5,113
50000000,99,Documentary,14.96, Fine Line Features, USA,2/9/1996,150270147,108,Broken Arrow,5.7,459
7000000,40,AdventureAction,6.9, Lusfilm, USA,2/21/1996,560069,91,Bottle Rocket,6.8,285
12000000,18,Drama,9.59, Paramount Pictures, USA,2/16/1996,41205099,92,Happy Gilmore,6.5,767
24000000,45,DramaHorror,5.95, American Zoetrope,Japan ,5/28/1995,182016617,135,The Bridges of Madison County,7.3,397
72000000,53,ComedyDrama,20.76, Samuel Goldwyn Company, USA,5/24/1995,210000000,177,Braveheart,7.7,3404
1300000,133,ThrillerCrime,14.09, Miramax Films, USA,2/7/1976,28262574,114,Taxi Driver,8.1,2632
7500000,53,ComedyDrama,12.31, Ang Lee Productions, Taiwan,1/30/1995,32392047,91,Rumble in the Bronx,6.5,245
25000000,32,FantasyDrama,1.52, Walt Disney Pictures, USA,9/29/1995,6278139,113,Steal Big Steal Little,5.1,7
40000000,878,Science Fiction,6.51, Paramount Pictures, USA,6/30/1992,70100000,117,Boomerang,5.4,139
7000000,108,ActionCrime,5.58, Paramount Pictures, USA,3/22/1996,14702438,92,Flirting with Disaster,6.3,66
50000000,42,FantasyAction,11.42, Miramax Films, USA,10/13/1995,9851610,95,Jade,5.1,45
31000000,115,ComedyCrime,6.5, Paramount Pictures, USA,3/8/1996,185260553,117,The Birdge,6.7,303
19000000,40,ActionAdventure,9.26, Twentieth Century Fox Film Corporation, USA,4/7/1995,141407024,118,Bad Boys,6.5,1729
4000000,46,DramaAction,0.92, Tig Productions, USA,7/21/1995,851545,113,An Awfully Big Adventure,6,11
28000000,40,ActionAdventure,10.19, Universal Pictures,Japan ,4/13/1995,31596911,139,Rob Roy,6.5,151
100000000,9675,HorrorMystery,13.32, New Line Cinema, USA,6/16/1995,336529144,121,Batman Forever,5.2,1529
2000000,63,ActionComedy,11.53, Paramount Pictures, USA,9/15/1995,1275000,83,Blue in the Face,6.8,28
11000000,905,HorrorScience Fiction,5.39, Warner Bros., USA,6/8/1995,178104,91,nadian Bacon,5.9,57
50000000,98,DramaCrime,12.81, HBO Films, USA,5/26/1995,287928194,100,sper,6,1045
25000000,53,DramaComedy,4.56, Columbia Pictures, USA,9/15/1995,13071518,128,Clockers,6.8,69
50000000,108,ActionCrime,7.26, Universal Pictures, USA,6/9/1995,152022101,109,Congo,5,214
53000000,40,ActionAdventure,8.66, TriStar Pictures, USA,5/12/1995,157387195,116,Crimson Tide,7,508
7000000,53,ComedyDrama,6.95, Gramercy Pictures, USA,8/25/1995,25405445,104,Desperado,6.8,898
27000000,108,CrimeAction,4.65, Silver Pictures, USA,9/15/1995,16140822,102,Devil in a Blue Dress,6.3,88
90000000,10784,ComedyRomance,15.14, Universal Studios, USA,5/19/1995,366101666,128,Die Hard: With a Vengeance,6.9,2094
55000000,40,AdventureAction,15.18, Warner Bros., USA,7/7/1995,127600435,134,First Knight,5.9,319
20000000,40,ActionAdventure,14.81, Universal Pictures, USA,9/14/1995,7563728,107,Hackers,6.2,406
25000000,46,ActionDrama,11.72, stle Rock Entertainment, USA,5/26/1995,19075720,97,Johnny Mnemonic,5.5,380
