budget,Genre,Language,popularity,release_date,revenue,runtime,title,vote_average,vote_count
237000000,Adventure,English,150.44,12/10/2009,2787965087,162,Avatar,7.2,11800
300000000,Action,English,139.08,5/19/2007,961000000,169,Pirates of the Caribbean: At World's End,6.9,4500
245000000,Action,English,107.38,10/26/2015,880674609,148,Spectre,6.3,4466
250000000,Action,English,112.31,7/16/2012,1084939099,165,The Dark Knight Rises,7.6,9106
260000000,Fantasy,English,43.93,3/7/2012,284139100,132,John Carter,6.1,2124
258000000,Animation,English,115.7,5/1/2007,890871626,139,Spider-Man 3,5.9,3576
260000000,Action,English,48.68,11/24/2010,591794936,100,Tangled,7.4,3330
280000000,Adventure,English,134.28,4/22/2015,1405403694,141,Avengers: Age of Ultron,7.3,6767
250000000,Adventure,English,98.89,7/7/2009,933959197,153,Harry Potter and the Half-Blood Prince,7.4,5293
250000000,Adventure,English,155.79,3/23/2016,873260194,151,Batman v Superman: Dawn of Justice,5.7,7004
270000000,Adventure,English,57.93,6/28/2006,391081192,154,Superman Returns,5.4,1400
200000000,Adventure,English,107.93,10/30/2008,586090727,106,Quantum of Solace,6.1,2965
200000000,Action,English,145.85,6/20/2006,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7,5246
255000000,Action,English,49.05,7/3/2013,89289910,149,The Lone Ranger,5.9,2311
225000000,Adventure,English,99.4,6/12/2013,662845518,143,Man of Steel,6.5,6359
225000000,Science,English,53.98,5/15/2008,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1630
220000000,Adventure,English,144.45,4/25/2012,1519557910,143,The Avengers,7.4,11776
380000000,Action,English,135.41,5/14/2011,1045713802,136,Pirates of the Caribbean: On Stranger Tides,6.4,4948
225000000,Adventure,English,52.04,5/23/2012,624026776,106,Men in Black 3,6.2,4160
250000000,Adventure,English,120.97,12/10/2014,956019788,144,The Hobbit: The Battle of the Five Armies,7.1,4760
215000000,Action,English,89.87,6/27/2012,752215857,136,The Amazing Spider-Man,6.5,6586
200000000,Adventure,English,37.67,5/12/2010,310669540,140,Robin Hood,6.2,1398
250000000,Adventure,English,94.37,12/11/2013,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524
180000000,Adventure,English,42.99,12/4/2007,372234864,113,The Golden Compass,5.8,1303
207000000,Drama,English,61.23,12/14/2005,550000000,187,King Kong,6.6,2337
200000000,Adventure,English,100.03,11/18/1997,1845034188,194,Titanic,7.5,7562
250000000,Thriller,English,198.37,4/27/2016,1153304495,147,Captain America: Civil War,7.1,7241
209000000,Action,English,64.93,4/11/2012,303025485,131,Battleship,5.5,2114
150000000,Action,English,418.71,6/9/2015,1513528810,124,Jurassic World,6.5,8662
200000000,Adventure,English,93,10/25/2012,1108561013,143,Skyfall,6.9,7604
200000000,Action,English,35.15,6/25/2004,783766341,127,Spider-Man 2,6.7,4321
